<DATE>;<CLOSE>
20119;175.9700000
30119;174.7550000
40119;178.2600000
70119;180.2100000
80119;180.5900000
90119;180.2800000
100119;181.6150000
110119;182.3400000
140119;181.2000000
150119;181.0250000
160119;179.2100000
170119;181.0600000
180119;182.6150000
220119;184.3600000
230119;186.1200000
240119;187.3700000
250119;184.0000000
280119;183.6200000
290119;182.1600000
300119;181.7100000
310119;179.1400000
10219;176.7600000
40219;177.5900000
50219;177.5400000
60219;176.0300000
70219;175.2400000
80219;174.5200000
110219;174.2300000
120219;173.8800000
130219;173.9950000
140219;175.8700000
150219;179.9400000
190219;179.1700000
200219;180.5300000
210219;182.7900000
220219;183.0900000
250219;182.6000000
260219;183.2200000
270219;183.3900000
280219;183.8000000
10319;185.0300000
40319;180.6300000
50319;181.3300000
60319;182.0300000
70319;180.6200000
80319;179.5200000
110319;181.1200000
120319;181.8900000
130319;182.0600000
140319;182.7350000
150319;185.3300000
180319;184.0000000
190319;183.2000000
200319;184.9300000
210319;186.3350000
220319;186.8200000
250319;185.7400000
260319;187.5100000
270319;187.5800000
280319;189.3900000
290319;189.9200000
10419;188.4200000
20419;188.3900000
30419;188.3200000
40419;189.8500000
50419;190.7050000
80419;189.8500000
90419;190.1300000
100419;189.2200000
110419;188.9100000
120419;191.6000000
150419;191.8500000
160419;191.7500000
170419;191.6100000
180419;195.0000000
220419;193.9500000
230419;195.2500000
240419;197.5900000
250419;197.9400000
260419;197.3900000
290419;197.0400000
300419;197.5600000
10519;194.1900000
20519;194.6100000
30519;197.5300000
60519;198.9800000
70519;198.0400000
80519;198.1400000
90519;197.6800000
100519;200.0000000
130519;199.0200000
140519;197.9700000
150519;199.0500000
160519;199.9400000
170519;199.2000000
200519;198.9800000
210519;199.8400000
220519;200.0000000
230519;198.9700000
240519;197.7700000
280519;196.7900000
290519;196.1800000
300519;199.3200000
310519;198.2000000
