<DATE>;<CLOSE>
20119;47.2650000
30119;46.9400000
40119;48.2500000
70119;47.7200000
80119;47.4900000
90119;47.3400000
100119;47.3500000
110119;47.3150000
140119;47.1000000
150119;47.8000000
160119;47.9900000
170119;47.9300000
180119;48.8500000
220119;48.5800000
230119;49.1100000
240119;49.0800000
250119;49.7100000
280119;49.2200000
290119;48.7600000
300119;49.2300000
310119;48.9100000
10219;49.2400000
40219;49.6500000
50219;49.5600000
60219;49.4100000
70219;49.0000000
80219;47.8100000
110219;47.7600000
120219;47.6400000
130219;48.3300000
140219;48.1500000
150219;48.4600000
190219;49.0700000
200219;48.1345000
210219;49.2600000
220219;49.2600000
250219;48.9900000
260219;48.3500000
270219;48.0300000
280219;48.2400000
10319;49.2900000
40319;48.0600000
50319;48.1400000
60319;47.7100000
70319;47.3750000
80319;47.4250000
110319;48.1975000
120319;48.0200000
130319;48.6700000
140319;48.3200000
150319;48.8500000
180319;48.8300000
190319;48.3200000
200319;47.3000000
210319;47.9200000
220319;45.9700000
250319;45.5400000
260319;45.6700000
270319;45.4200000
280319;46.0400000
290319;46.3300000
10419;46.9300000
20419;46.4800000
30419;47.4700000
40419;47.8900000
50419;47.8500000
80419;47.9400000
90419;47.6600000
100419;48.3600000
110419;48.3400000
120419;48.5800000
150419;49.0100000
160419;49.1800000
170419;48.5600000
180419;48.0100000
220419;47.6600000
230419;48.9800000
240419;48.8500000
250419;48.7500000
260419;49.7800000
290419;49.7600000
300419;49.3300000
10519;49.6100000
20519;50.0200000
30519;45.8600000
60519;46.3100000
70519;45.1300000
80519;44.3200000
90519;44.6200000
100519;45.4700000
130519;44.0200000
140519;43.4200000
150519;43.7500000
160519;43.7000000
170519;42.9800000
200519;42.9000000
210519;43.2600000
220519;43.2700000
230519;43.2400000
240519;43.6100000
280519;43.4400000
290519;43.7800000
300519;44.0200000
310519;43.9800000
