<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
EURRUB;60;20180101;020000;69.1930000;69.2290000;69.1930000;69.2290000;9
EURRUB;60;20180101;100000;69.1900000;69.2050000;69.1730000;69.1990000;18
EURRUB;60;20180101;110000;69.1990000;69.1990000;69.1730000;69.1730000;20
EURRUB;60;20180101;120000;69.1730000;69.1760000;69.1730000;69.1760000;20
EURRUB;60;20180101;130000;69.1730000;69.1760000;69.1730000;69.1760000;19
EURRUB;60;20180101;140000;69.1730000;69.1760000;69.1730000;69.1760000;19
EURRUB;60;20180101;150000;69.1730000;69.1760000;69.1730000;69.1760000;19
EURRUB;60;20180101;160000;69.1730000;69.1760000;69.1730000;69.1760000;19
EURRUB;60;20180101;170000;69.1730000;69.1990000;69.1730000;69.1760000;19
EURRUB;60;20180101;180000;69.1990000;69.1990000;69.1760000;69.1760000;19
EURRUB;60;20180101;190000;69.1990000;69.1990000;69.1760000;69.1760000;20
EURRUB;60;20180101;200000;69.1990000;69.1990000;69.1990000;69.1990000;6
EURRUB;60;20180101;210000;69.4270000;69.4780000;69.4090000;69.4720000;8
EURRUB;60;20180101;220000;69.4870000;69.6090000;69.4690000;69.6090000;9
EURRUB;60;20180101;230000;69.6030000;69.6150000;69.2460000;69.2460000;10
EURRUB;60;20180102;000000;69.2260000;69.2260000;69.2260000;69.2260000;1
EURRUB;60;20180102;010000;69.5490000;69.5548000;69.5420000;69.5423000;12
EURRUB;60;20180102;020000;69.5428000;69.6240000;69.1740000;69.5516000;109
EURRUB;60;20180102;030000;69.6200000;69.6210000;69.2373000;69.5669000;209
EURRUB;60;20180102;040000;69.6120000;69.6120000;69.0790000;69.1080000;208
EURRUB;60;20180102;050000;69.1530000;69.4120000;69.1120000;69.2678000;228
EURRUB;60;20180102;060000;69.2960000;69.3260000;69.1640000;69.2434000;189
EURRUB;60;20180102;070000;69.1740000;69.3240000;69.1464000;69.1650000;196
EURRUB;60;20180102;080000;69.2080000;69.2430000;69.1476000;69.2085000;180
EURRUB;60;20180102;090000;69.1950000;69.3130000;69.0760000;69.1148000;181
EURRUB;60;20180102;100000;69.1770000;69.3280000;69.0980000;69.1109000;170
EURRUB;60;20180102;110000;69.1580000;69.2430000;68.8251000;69.0630000;319
EURRUB;60;20180102;120000;69.1020000;69.1180000;68.8670000;68.9870000;3059
EURRUB;60;20180102;130000;68.9880000;69.2078000;68.9305000;69.1930000;7541
EURRUB;60;20180102;140000;69.1930000;69.3020000;69.1240000;69.2420000;7495
EURRUB;60;20180102;150000;69.2420000;69.2832000;69.1140000;69.1670000;4814
EURRUB;60;20180102;160000;69.1440000;69.1860000;69.0150000;69.0980000;5315
EURRUB;60;20180102;170000;69.0980000;69.1160000;68.9590000;69.0400000;5770
EURRUB;60;20180102;180000;69.0400000;69.1063000;68.8950000;68.9900000;6487
EURRUB;60;20180102;190000;68.9950000;69.3583000;68.8820000;69.3370000;5573
EURRUB;60;20180102;200000;69.3360000;69.4503000;69.1615000;69.3450000;3732
EURRUB;60;20180102;210000;69.4100000;69.4339000;69.1610000;69.2140000;373
EURRUB;60;20180102;220000;69.3200000;69.3676000;69.1390000;69.1960000;334
EURRUB;60;20180102;230000;69.2760000;69.3388000;68.9350000;69.1780000;206
EURRUB;60;20180103;000000;69.3056000;69.3410000;68.9750000;69.1640000;215
EURRUB;60;20180103;010000;69.2520000;69.3736000;69.1560000;69.3422000;202
