<DATE>;<CLOSE>
20119;27.5000000
30119;26.8000000
40119;28.5300000
70119;28.9800000
80119;29.0800000
90119;29.8100000
100119;29.7100000
110119;29.9150000
140119;29.5300000
150119;29.5300000
160119;29.7700000
170119;31.0000000
180119;30.8100000
220119;30.5000000
230119;31.3100000
240119;32.0200000
250119;33.5800000
280119;33.0300000
290119;32.2600000
300119;33.8000000
310119;33.6000000
10219;33.6900000
40219;34.2600000
50219;34.4200000
60219;33.7700000
70219;33.0300000
80219;33.2200000
110219;33.5000000
120219;34.0200000
130219;33.8600000
140219;34.4300000
150219;31.5000000
190219;32.8500000
200219;32.8400000
210219;31.7900000
220219;33.6900000
250219;33.5900000
260219;33.4200000
270219;33.0800000
280219;34.4250000
10319;34.6300000
40319;35.0050000
50319;36.1500000
60319;35.9800000
70319;35.1900000
80319;35.1000000
110319;35.9900000
120319;35.5400000
130319;35.7000000
140319;35.6600000
150319;36.0000000
180319;35.9800000
190319;35.9200000
200319;35.7500000
210319;35.8900000
220319;35.3200000
250319;35.7500000
260319;35.5800000
270319;34.8400000
280319;35.6000000
290319;34.3300000
10419;33.9600000
20419;34.9200000
30419;34.7700000
40419;34.6400000
50419;35.1950000
80419;35.7400000
90419;35.9800000
100419;37.4600000
110419;37.8000000
120419;38.9200000
150419;39.0100000
160419;38.8500000
170419;38.2000000
180419;37.3600000
220419;37.4300000
230419;37.8200000
240419;37.6200000
250419;37.1300000
260419;36.6850000
290419;37.3150000
300419;37.4500000
10519;38.1000000
20519;36.4800000
30519;37.2050000
60519;36.9650000
70519;36.3300000
80519;36.5200000
90519;36.4550000
100519;36.2800000
130519;34.8600000
140519;35.0800000
150519;36.2300000
160519;37.2800000
170519;37.8000000
200519;36.8600000
210519;37.4100000
220519;37.6700000
230519;36.3900000
240519;37.2950000
280519;35.8000000
290519;36.3250000
300519;36.3500000
310519;35.9100000
