<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB;60;20180101;010000;57.6470000;57.6470000;57.6470000;57.6470000;12
USDRUB;60;20180101;020000;57.6770000;57.6770000;57.6470000;57.6470000;12
USDRUB;60;20180101;030000;57.6470000;57.6470000;57.6470000;57.6470000;12
USDRUB;60;20180101;040000;57.6470000;57.6470000;57.6470000;57.6470000;12
USDRUB;60;20180101;050000;57.6470000;57.6470000;57.6470000;57.6470000;12
USDRUB;60;20180101;060000;57.6470000;57.6770000;57.6470000;57.6770000;12
USDRUB;60;20180101;070000;57.6770000;57.6770000;57.6770000;57.6770000;12
USDRUB;60;20180101;080000;57.6770000;57.6770000;57.6770000;57.6770000;12
USDRUB;60;20180101;090000;57.6770000;57.6770000;57.6770000;57.6770000;12
USDRUB;60;20180101;100000;57.6770000;57.6770000;57.6330000;57.6330000;30
USDRUB;60;20180101;110000;57.6570000;57.6570000;57.6330000;57.6546000;32
USDRUB;60;20180101;120000;57.6570000;57.6570000;57.6546000;57.6550000;32
USDRUB;60;20180101;130000;57.6570000;57.6570000;57.6546000;57.6550000;31
USDRUB;60;20180101;140000;57.6570000;57.6570000;57.6546000;57.6550000;31
USDRUB;60;20180101;150000;57.6570000;57.6570000;57.6546000;57.6550000;31
USDRUB;60;20180101;160000;57.6570000;57.6570000;57.6546000;57.6550000;31
USDRUB;60;20180101;170000;57.6570000;57.6570000;57.6330000;57.6550000;31
USDRUB;60;20180101;180000;57.6570000;57.6570000;57.6330000;57.6550000;31
USDRUB;60;20180101;190000;57.6570000;57.6570000;57.6330000;57.6550000;32
USDRUB;60;20180101;200000;57.6570000;57.6770000;57.6330000;57.6770000;18
USDRUB;60;20180101;210000;57.6770000;57.9110000;57.6670000;57.9110000;14
USDRUB;60;20180101;220000;57.9110000;57.9720000;57.7483000;57.9720000;14
USDRUB;60;20180101;230000;57.9720000;57.9720000;57.6770000;57.6770000;12
USDRUB;60;20180102;000000;57.6770000;57.7687000;57.6770000;57.7687000;12
USDRUB;60;20180102;010000;57.7687000;57.9961000;57.7687000;57.9946000;14
USDRUB;60;20180102;020000;57.7687000;58.0016000;57.7687000;57.9506000;37
USDRUB;60;20180102;030000;57.8143000;57.9928000;57.6674000;57.9807000;99
USDRUB;60;20180102;040000;57.8708000;57.9804000;57.5410000;57.5723000;65
