<DATE>;<CLOSE>
20119;224.5500000
30119;215.5900000
40119;226.2900000
70119;229.0700000
80119;232.6800000
90119;235.4200000
100119;237.7500000
110119;237.4900000
140119;234.5800000
150119;242.3600000
160119;241.9100000
170119;244.4400000
180119;247.5800000
220119;243.9600000
230119;245.0100000
240119;242.4600000
250119;244.9800000
280119;241.7400000
290119;238.2700000
300119;242.6100000
310119;247.9200000
10219;247.3800000
40219;254.5800000
50219;254.9800000
60219;254.2500000
70219;253.7400000
80219;256.8200000
110219;258.3900000
120219;261.3400000
130219;260.1900000
140219;260.1200000
150219;259.8000000
190219;257.8400000
200219;258.1900000
210219;257.7000000
220219;258.9000000
250219;258.6600000
260219;261.3600000
270219;263.0400000
280219;262.5400000
10319;264.0700000
40319;258.0800000
50319;257.7600000
60319;256.5300000
70319;255.4600000
80319;254.8500000
110319;260.9600000
120319;263.5200000
130319;264.4600000
140319;267.7700000
150319;257.6800000
180319;257.7000000
190319;260.4000000
200319;259.7900000
210319;264.2500000
220319;259.7500000
250319;262.2300000
260319;265.7500000
270319;262.3400000
280319;263.5900000
290319;266.5500000
10419;272.1900000
20419;271.2300000
30419;271.5900000
40419;267.8100000
50419;267.5400000
80419;268.8100000
90419;269.0700000
100419;271.4600000
110419;271.8200000
120419;271.7900000
150419;272.2100000
160419;271.3900000
170419;269.5100000
180419;270.7600000
220419;272.1500000
230419;278.3900000
240419;275.4700000
250419;277.6800000
260419;281.9900000
290419;286.2900000
300419;289.6800000
10519;283.2200000
20519;279.5150000
30519;285.5400000
60519;283.7000000
70519;276.9900000
80519;276.6600000
90519;275.8700000
100519;278.5700000
130519;267.6600000
140519;271.7300000
150519;276.7900000
160519;283.4900000
170519;279.8700000
200519;275.5200000
210519;278.1100000
220519;281.7500000
230519;274.3400000
240519;274.5000000
280519;278.2700000
290519;273.6300000
300519;274.6100000
310519;270.9100000
